  Z  T1KEV (ENERGY SPECTRUM IN MB FOR K/T1=0,.1,.2,.3,.4,.5,.6,.7,.8,.9,.95,1)
  5   50.0 11.55854 10.09475  8.53026  7.32241  6.34462  5.51277  4.77876  4.10107  3.45048  2.79015  2.43228  2.13827
  5   75.0 11.91741 10.03699  8.33186  7.06764  6.05627  5.20547  4.45821  3.77141  3.10781  2.42955  2.05237  1.69443
  5  100.0 12.06815  9.91803  8.13837  6.84127  5.82105  4.96104  4.21029  3.52408  2.86532  2.18574  1.80391  1.40759
  5  200.0 12.29506  9.50290  7.58791  6.24084  5.19934  4.33567  3.58848  2.91808  2.28978  1.65197  1.29020   .84566
  5  300.0 12.43685  9.29394  7.31410  5.94333  4.88711  4.01875  3.27348  2.61241  2.00281  1.39765  1.05830   .61229
  5  400.0 12.64081  9.23935  7.21827  5.81446  4.73744  3.85543  3.10755  2.44798  1.84916  1.26142   .93622   .49140
  5  500.0 12.77816  9.25230  7.18890  5.76476  4.66832  3.77607  3.02099  2.36003  1.76313  1.18276   .86470   .41883
  6    1.0  5.33742  5.49226  5.57050  5.58261  5.55729  5.50227  5.42435  5.33760  5.25824  5.20426  5.18398  5.15727
  6    2.5  6.86373  6.98853  6.91614  6.75011  6.53821  6.30626  6.07144  5.84984  5.64836  5.47346  5.40052  5.33808
  6    5.0  8.02317  8.01947  7.71713  7.32353  6.90878  6.51150  6.14286  5.80785  5.51123  5.26427  5.16697  5.08232
  6   10.0  9.12982  8.86606  8.22923  7.55892  6.94578  6.39769  5.90674  5.46285  5.05907  4.70906  4.57495  4.48319
  6   25.0 10.52313  9.72944  8.58053  7.57899  6.73705  6.01319  5.37555  4.79673  4.25603  3.73831  3.50195  3.36250
  6   50.0 11.34480  9.99117  8.49997  7.33489  6.38950  5.58455  4.87630  4.22670  3.61134  3.00057  2.68537  2.45763
  6   75.0 11.69476  9.95789  8.31458  7.08587  6.09919  5.26895  4.53929  3.87271  3.23347  2.59290  2.24855  1.96004
  6  100.0 11.87108  9.85898  8.13084  6.86198  5.86178  5.01799  4.28081  3.60979  2.96914  2.31815  1.96282  1.63539
  6  200.0 12.12932  9.47191  7.59551  6.26524  5.23451  4.37854  3.63814  2.97343  2.35356  1.72776  1.37979   .98948
  6  300.0 12.32521  9.27513  7.32531  5.96664  4.91748  4.05271  3.31266  2.65402  2.04963  1.45228  1.12056   .71834
  6  400.0 12.42706  9.21796  7.22398  5.83381  4.76196  3.88518  3.13954  2.48320  1.88635  1.30429   .98470   .57757
  6  500.0 12.60425  9.23208  7.18091  5.78088  4.69045  3.80243  3.04956  2.38976  1.79481  1.21911   .90462   .49228
  7    1.0  5.03843  5.19578  5.28808  5.31890  5.31286  5.27786  5.22115  5.15338  5.08635  5.04097  5.02501  5.00141
  7    2.5  6.58687  6.73229  6.70533  6.58572  6.41921  6.22768  6.02930  5.83649  5.65555  5.49311  5.42295  5.36371
  7    5.0  7.77007  7.81163  7.57526  7.24511  6.88739  6.53986  6.21461  5.92083  5.66017  5.44307  5.35215  5.26867
  7   10.0  8.87995  8.68705  8.13451  7.53473  6.97826  6.47775  6.03289  5.63533  5.28192  4.98599  4.87341  4.78624
  7   25.0 10.29387  9.58630  8.52425  7.57788  6.78094  6.09578  5.49685  4.95924  4.46473  4.00780  3.81292  3.69939
  7   50.0 11.13546  9.89448  8.47296  7.34839  6.43224  5.65427  4.97088  4.34855  3.76730  3.20378  2.92755  2.74624
  7   75.0 11.51107  9.88738  8.30259  7.10410  6.14112  5.33050  4.61962  3.97137  3.35675  2.75269  2.44039  2.20566
  7  100.0 11.70463  9.80513  8.12537  6.88376  5.90264  5.07414  4.35167  3.69497  3.07058  2.44836  2.12066  1.84745
  7  200.0 12.01571  9.44681  7.60412  6.28975  5.26886  4.42068  3.68716  3.02925  2.41690  1.80430  1.46927  1.12454
  7  300.0 12.16435  9.26295  7.33847  5.99004  4.94703  4.08795  3.35014  2.69703  2.09590  1.50649  1.18353   .81944
  7  400.0 12.32299  9.20735  7.23269  5.85327  4.78767  3.91414  3.17180  2.51774  1.92496  1.34765  1.03374   .65961
  7  500.0 12.46754  9.21661  7.18879  5.79911  4.71375  3.82900  3.07839  2.42080  1.82785  1.25485   .94604   .56351
